ID,scode,sname,sem,dept,credit
,15UBM703,Neural Networks and Pattern Recognition,7,BME,3
,15UBM915,Rehabilitation Engineering,7,BME,3
,15UBM706,Hospital Training,7,BME,1
,15UBM707,Project Design Laboratory,7,BME,1
,15UGS731,Personality and Social Development,7,BME,0
,15UGS732,Skills Development,7,BME,0
,15UEN101,Technical English,1,IT,2
,15UMA102,Engineering Mathematics - I,1,IT,4
,15UPH103,Engineering Physics,1,IT,3
,15UCY105,Applied Chemistry,1,IT,3
,15UCS107,Computer Programming,1,IT,3
,15UME108,Engineering Graphics,1,IT,4
,15UGS112,Basic Sciences Laboratory - I,1,IT,1
,15UCS109,Computer Programming Laboratory,1,IT,1
,15UCS111,Engineering Fundamentals Laboratory,1,IT,1
,15UPH205,Semiconductor Physics and Opto Electronics,2,IT,3
,15UCS208,Digital Principles and System Design,2,IT,3
,15UIT209,Problem Solving and Programming Techniques,2,IT,3
,15UIT211,Programming Techniques Laboratory,2,IT,1
,15UEN201,Business English and Presentation Skills,2,IT,3
,15UMA202,Engineering Mathematics - II,2,IT,4
,15UCY207,Environmental Science,2,IT,3
,15UGS210,Basic Sciences Laboratory - II,2,IT,1
,15UMA322,"Probability, Statistics and Queueing Systems",3,IT,4
,15UIT302,Data Structures and Algorithms,3,IT,3
,15UCS303,Computer Organization and Architecture,3,IT,3
,15UIT304,Object Oriented Programming,3,IT,3
,15UIT306,Analog and Digital Communication,3,IT,3
,15UIT307,Object Oriented Programming Laboratory,3,IT,1
,15UIT308,Data Structures and Algorithms Laboratory,3,IT,1
,15UIT305,Operating Systems,3,IT,3
,15UIT309,Operating Systems Laboratory,3,IT,1
,15UGS331,Value Education and Human Rights,3,IT,0
,15UIT404,Software Engineering Methodologies,4,IT,3
,15UCS402,Java Programming,4,IT,3
,15UIT406,Computer Networks,4,IT,3
,15UIT409,Computer Networks Laboratory,4,IT,1
,15UIT405,Database Management Systems,4,IT,3
,15UIT408,Database Management Systems Laboratory,4,IT,1
,15UIT403,Introduction to Human Computer Interaction,4,IT,3
,15UCS407,Java Programming Laboratory,4,IT,1
,15UMA421,Discrete Mathematics,4,IT,4
,15UGS431,Reasoning and Quantitative Aptitude,4,IT,1
,15UIT864,Android Programming-I,4,IT,1
,15UCS501,Internet and Web Technology,5,IT,3
,15UIT502,Data warehousing and Data Mining,5,IT,3
,15UIT503,Graphics and Multimedia,5,IT,3
,15UIT504,Analysis and Design of Algorithms,5,IT,3
,15UIT931,Object Oriented System Design,5,IT,3
,15UCS507,Internet and Web Technology Laboratory,5,IT,1
,15UIT508,Data Warehousing and Data Mining Laboratory,5,IT,1
,15UIT509,Graphics and Multimedia Laboratory,5,IT,1
,15UGS531,Soft Skills and Communication Laboratory,5,IT,1
,15UIT924,Agile Software Development,5,IT,3
,15UIT601,Cryptography and Network Security,6,IT,3
,15UIT602,Mobile Applications Development,6,IT,3
,15UIT901,Programming Paradigms,6,IT,3
,15UIT930,Programming with Python,6,IT,3
,15UIT607,Security Laboratory,6,IT,1
,15UIT608,Mobile Applications Development Laboratory,6,IT,1
,15UIT609,Technical Project,6,IT,3
,15UEC973,Embedded Systems and Programming,6,IT,3
,15UIT603,Compiler Design,6,IT,3
,15UIT861,IT INFRASTRUCTURE MANAGEMENT SERVICES,6,IT,1
,15UME701,Project Management and Finance,7,IT,3
,15UCS702,Insight into Cloud Computing,7,IT,3
,15UCS706,Cloud Computing Laboratory,7,IT,1
,15UGM952,Automation in Agriculture,7,IT,3
,15UIT703,Fundamentals of Image Processing,7,IT,2
,15UIT707,Image Processing Laboratory,7,IT,1
,15U1T001,Internship-I,7,IT,1
,15U2T001,Internship/Industrial Training-I,7,IT,2
,15UGS731,Personality and Social Development,7,IT,0
,15UGS732,Skills Development,7,IT,0
,15UAG973,Fundamentals of Horticulture,7,IT,3
,15UCS107,Computer Programming,1,AGRI,3
,15UEN101,Technical English,1,AGRI,2
,15UMA102,Engineering Mathematics - I,1,AGRI,4
,15UME108,Engineering Graphics,1,AGRI,4
,15UPH103,Engineering Physics,1,AGRI,3
,15UCS109,Computer Programming Laboratory,1,AGRI,1
,15UGS112,Basic Sciences Laboratory - I,1,AGRI,1
,15UME110,Engineering Practices Laboratory,1,AGRI,1
,15UCY107,CHEMISTRY FOR AGRICULTURIST,1,AGRI,3
,15UEE208,Basic Electrical and Electronics Engineering,2,AGRI,3
,15UPH207,Physics for Agricultural Engineering,2,AGRI,3
,15UEN201,Business English and Presentation Skills,2,AGRI,3
,15UAG204,Principles of Agricultural Engineering,2,AGRI,3
,15UCY207,Environmental Science,2,AGRI,3
,15UGS210,Basic Sciences Laboratory - II,2,AGRI,1
,15UAG206,Agricultural Engineering Practices Lab,2,AGRI,2
,15UMA202,Engineering Mathematics - II,2,AGRI,4
,15UMA321,Transforms and Partial Differential Equations,3,AGRI,4
,15UAG302,Unit Operations in Agricultural Processing,3,AGRI,3
,15UAG303,Fundamentals of Engineering Mechanics,3,AGRI,3
,15UAG304,Fluid Mechanics and Hydraulics,3,AGRI,4
,15UAG305,Fundamentals of Theory of Machines,3,AGRI,3
,15UAG306,Principles and Practices of Crop Production,3,AGRI,3
,15UAG307,Crop Husbandry Laboratory,3,AGRI,2
,15UAG308,Fluid Mechanics Laboratory,3,AGRI,2
,15UGS331,Value Education and Human Rights,3,AGRI,0
,15UGS431,Reasoning and Quantitative Aptitude,4,AGRI,1
,15UMA425,Probability and Statistics,4,AGRI,4
,15UAG402,Post Harvest Technology,4,AGRI,3
,15UAG403,Farm Tractors,4,AGRI,3
